sch_ID,sch_Name,sch_PhoneNo,sch_Email,sch_Address,sch_Code,sch_Year,sch_Status
172,"SEK MEN KEB SRI KURAU JALAN SIAKAP BAGAN SERAI PERAK",,,,1AD072,,
173,"SEKOLAH MENENGAH BAGAN SERAI PERAK",,,,1AD076,,
174,"SEKOLAH MENENGAH BAGAN SERAI PERAK",,,,1AD077,,
175,"SEKOLAH MENENGAH AGAMA AL RIDHWANIAH BAGAN SERAI PERAK",,,,1AD081,,
176,"SEK MEN AGAMA RAKYAT AL-HIDAYAH PRT ABAS K KURAU PERAK",,,,1AD086,,
177,"SMK RAJA LOPE NOR RASHID PERAK",,,,1AD101,,
178,"SMK RAJA LOPE NOR RASHID PERAK",,,,1AD102,,
179,"SM AGAMA SHAMSUL MAARIF AL WATANIAH TG PIANDANG PERAK",,,,2AD102,,
180,"SEKOLAH MENENGAH AGAMA AL FALAH PARIT TOK NGAH PERAK",,,,1AD106,,
181,"SMK GUNUNG SEMANGGOL SIMPANG 4 SEMANGGOL PERAK",,,,1AD131,,
182,"SMK GUNUNG SEMANGGOL PERAK (CALON PERSENDIRIAN)",,,,2AD131,,
183,"SEK MEN KEB MUDZAFFAR SHAH SPG 4 SEMANGGOL PERAK",,,,1AD136,,
184,"SEK MEN KEB MUDZAFFAR SHAH SPG 4 SEMANGGOL PERAK",,,,1AD137,,
185,"SEK MEN KEB MUDZAFFAR SHAH SPG 4 SEMANGGOL PERAK",,,,1AD138,,
186,"MA'AHAD AL EHYA ASSHARIFF GUNUNG SEMANGGOL PERAK",,,,1AD161,,
187,"SEKOLAH MENENGAH KEBANGSAAN BUKIT MERCHU PERAK",,,,1AE001,,
188,"SMK TEMENGGONG KATI K KANGSAR PERAK",,,,1AE006,,
189,"SMK TEMENGGONG KATI K KANGSAR PERAK",,,,1AE007,,
190,"SEKOLAH MENENGAH KEBANGSAAN SAYONG PERAK",,,,1AE011,,
191,"SMK RAJA MUDA MUSA KUALA KANGSAR PERAK",,,,1AE016,,
192,"CALON PERSENDIRIAN PERSEORANGAN PERAK",,,,2AE016,,
193,"SMJK TSUNG WAH KUALA KANGSAR PERAK",,,,1AE021,,
194,"SMJK TSUNG WAH KUALA KANGSAR PERAK",,,,1AE022,,
195,"SMJK TSUNG WAH KUALA KANGSAR PERAK",,,,1AE023,,
196,"SMK CLIFFORD KUALA KANGSAR PERAK",,,,1AE026,,
197,"SMK RAJA PEREMPUAN KELSOM K KANGSAR PERAK",,,,1AE031,,
198,"KOLEJ MELAYU KUALA KANGSAR PERAK",,,,1AE036,,
199,"SMK SIMPANG BELURU ENGGOR PERAK",,,,1AE041,,
200,"MADRASAH IDRISIAH BUKIT CHANDAN KUALA KANGSAR PERAK",,,,1AE046,,
201,"SMK TOK MUDA ABDUL AZIZ SG SIPUT (U) PERAK",,,,1AE061,,
202,"SMK TOK MUDA ABDUL AZIZ SG SIPUT (U) PERAK",,,,1AE062,,
203,"SMK RLKT LASAH  SUNGAI SIPUT (U) PERAK",,,,1AE066,,
204,"SM AGAMA MAAHAD NURUL FADZLIAH SG SIPUT PERAK",,,,2AE066,,
205,"SMK METHODIST SUNGAI SIPUT (U) PERAK",,,,1AE071,,
206,"SMJK SHIMG CHUNG SUNGAI SIPUT UTARA PERAK",,,,1AE076,,
207,"SMJK SHING CHUNG SUNGAI SIPUT UTARA PERAK",,,,1AE077,,
208,"SEK MEN KEB DATUK HJ ABDUL WAHAB SG SIPUT (U) PERAK",,,,1AE081,,
209,"SEK MEN KEB DATUK HJ ABDUL WAHAB SG SIPUT (U) PERAK",,,,1AE082,,
210,"SMK SULTAN TAJUL ARIFFIN MANONG PERAK",,,,1AE101,,
211,"SMK SULTAN TAJUL ARIFFIN MANONG (CALON PERSENDIRIAN)",,,,2AE101,,
212,"MAAHAD AL MIZAN MANONG PERAK",,,,1AE106,,
213,"SMK TUN PERAK PADANG RENGAS PERAK",,,,1AE121,,
214,"SMK TUN PERAK PADANG RENGAS PERAK",,,,1AE122,,
215,"MAAHAD AL YAHYAWIYAH PADANG RENGAS PERAK",,,,2AE122,,
216,"SMK SUNGAI MANIK TELUK INTAN PERAK",,,,1AF001,,
217,"SMK SERI PERAK TELUK INTAN PERAK",,,,1AF006,,
218,"SMK SERI PERAK TELUK INTAN PERAK",,,,1AF007,,
219,"SEK MEN KEB SULTAN ABDUL AZIZ TELUK INTAN PERAK",,,,1AF011,,
220,"SEK MEN KEB SULTAN ABDUL AZIZ TELUK INTAN PERAK",,,,1AF012,,
221,"SEK MEN KEB RAJA MUDA MUSA TELUK INTAN PERAK",,,,1AF016,,
222,"SEK MEN KEB RAJA MUDA MUSA TELUK INTAN PERAK",,,,1AF017,,
223,"SMKSST ANTHONY TELUK INTAN PERAK",,,,1AF021,,
224,"SMK ST ANTHONY TELUK INTAN PERAK",,,,1AF022,,
225,"SEKOLAH MENENGAH HORLEY METHODIST PERAK",,,,1AF026,,
226,"SEKOLAH MENENGAH HORLEY METHODIST PERAK",,,,1AF027,,
227,"SMK CONVENT TELUK INTAN PERAK",,,,1AF031,,
228,"SMK CONVENT TELUK INTAN PERAK",,,,1AF032,,
229,"CALON PERSENDIRIAN PERSEORANGAN PERAK",,,,2AF032,,
230,"SMK SAN MIN TELUK INTAN PERAK",,,,1AF036,,
231,"SMK SAN MIN SUWA TELUK INTAN PERAK",,,,1AF041,,
232,"SEKOLAH MENENGAH SAINS TELUK INTAN PERAK",,,,1AF051,,
233,"SEKOLAH MENENGAH SAINS TELUK INTAN PERAK",,,,2AF051,,
234,"MAAHAD AL-ISLAH PT 17A SG LAMPAM TELUK INTAN PERAK",,,,1AF061,,
235,"SMK SUL ABDULLAH CENDERONG BALAI PERAK",,,,1AF081,,
236,"SMK SUL ABDULLAH CENDERONG BALAI PERAK",,,,1AF082,,
237,"CALON PERSENDIRIAN PERSEORANGAN PERAK",,,,2AF082,,
238,"SMK ULU BERNAM  ULU BERNAM HILIR PERAK",,,,1AF101,,
239,"SEKOLAH MENENGAH KEBANGSAAN HUTAN MELINTANG PERAK",,,,1AF126,,
240,"SEKOLAH MENENGAH KEBANGSAAN HUTAN MELINTANG PERAK",,,,1AF127,,
241,"SEKOLAH MENENGAH KEBANGSAAN HUTAN MELINTANG PERAK",,,,1AF128,,
242,"SEKOLAH MENENGAH DATO SAGOR LANGKAP PERAK",,,,1AF151,,
243,"SEKOLAH MENENGAH DATO SAGOR LANGKAP PERAK",,,,1AF152,,
244,"SMK KHIR JOHARI SUNGAI SUMUN PERAK",,,,1AF171,,
245,"SMK KHIR JOHARI SUNGAI SUMUN PERAK",,,,1AF172,,
246,"SMK KHIR JOHARI SG SUMUN (CALON PERSENDIRIAN)",,,,2AF172,,
247,"SMK TUN ABDUL RAZAK SELEKOH PERAK",,,,1AF201,,
248,"SMK TUN ABDUL RAZAK SELEKOH PERAK",,,,1AF202,,
249,"SMK SERI MUARA BAGAN DATOH PERAK",,,,1AF231,,
250,"SEK MEN AGAMA AL-ULUM AL-SYAR'IYYAH PERAK",,,,1AF236,,
251,"SEKOLAH MENENGAH IRSHADIAH BAGAN DATOH PERAK",,,,1AF241,,
252,"SMK DOKTOR BURHANUDDIN TAIPING PERAK",,,,1AG001,,
253,"SMK DOKTOR BURHANUDDIN TAIPING PERAK",,,,1AG002,,
254,"SEKOLAH MENENGAH KEBANGSAAN ST GEORGE TAIPING PERAK",,,,1AG006,,
255,"SEKOLAH MENENGAH KEBANGSAAN ST GEORGE TAIPING PERAK",,,,1AG007,,
256,"SMK PEREMPUAN TREACHER METHODIST TAIPING PERAK",,,,1AG011,,
257,"CALON PERSENDIRIAN PERSEORANGAN PERAK",,,,2AG011,,
258,"SMK CONVENT TAIPING PERAK",,,,1AG016,,
259,"SMK CONVENT TAIPING PERAK",,,,1AG017,,
260,"SEK MEN JENIS KEB HUA LIAN TAIPING PERAK",,,,1AG021,,
261,"SEK MEN JENIS KEB HUA LIAN TAIPING PERAK",,,,1AG022,,
262,"SEK MEN JENIS KEB HUA LIAN  TAIPING PERAK",,,,1AG023,,
263,"SEKOLAH MENENGAH KEBANGSAAN SRI KOTA TAIPING PERAK",,,,1AG026,,
264,"SEKOLAH MENENGAH KEBANGSAAN SRI KOTA TAIPING PERAK",,,,1AG027,,
265,"SEK MEN KEB DARUL RIDWAN TAIPING PERAK",,,,1AG031,,
266,"SEK MEN KEB DARUL RIDWAN TAIPING PERAK",,,,1AG032,,
267,"SEKOLAH MENENGAH KING EDWARD VII TAIPING PERAK",,,,1AG036,,
268,"SEKOLAH MENENGAH KING EDWARD VII TAIPING PERAK",,,,1AG037,,
269,"SEK MEN SAINS RAJA TUN AZLAN SHAH TAIPING PERAK",,,,1AG041,,
270,"SEK MEN KEB TENGKU MENTERI TAIPING PERAK",,,,1AG046,,
271,"SEK MEN KEB TENGKU MENTERI TAIPING PERAK",,,,1AG047,,
272,"CALON PERSENDIRIAN PERSEORANGAN PERAK",,,,2AG047,,
273,"MAAHAD AL MAARIF AL ISLAMIAH TAIPING PERAK",,,,1AG048,,
274,"SEK MEN AGAMA ISLAHIAH KM 21 TRONG PERAK",,,,2AG048,,
275,"SEKOLAH MENENGAH ADDINIAH JELUTONG TAIPING PERAK",,,,1AG050,,
276,"SEKOLAH MENENGAH KEBANGSAAN SIMPANG TAIPING PERAK",,,,1AG051,,
277,"SEKOLAH MENENGAH KEBANGSAAN SIMPANG TAIPING PERAK",,,,1AG052,,
278,"SMK BATU LAPAN TAIPING PERAK",,,,1AG056,,
279,"SEKOLAH MENENGAH KEBANGSAAN KAMUNTING PERAK",,,,1AG061,,
280,"SEKOLAH MENENGAH KEBANGSAAN KAMUNTING PERAK",,,,1AG062,,
281,"SEK MEN KEB KEMUNTING PERAK (CALON PERSENDIRIAN)",,,,2AG062,,
282,"SEKOLAH TINGGI HUA LIAN TAIPING PERAK",,,,1AG066,,
283,"SEK MEN AGAMA AL-KHAIRIAH AL-ISLAMIAH PERAK",,,,1AG071,,
284,"MAAHAD AL-TARBIAH AL-ISLAMIAH TRONG PERAK",,,,1AG081,,
285,"MAAHAD AL TARBIAH AL ISLAMIAH TRONG PERAK",,,,1AG082,,
286,"SEK MEN KEB TAMAN TASIK TAIPING PERAK",,,,1AG086,,
287,"SEK MEN KEB BUKIT JANA KAMUNTING PERAK",,,,1AG091,,
288,"SEK MEN KEB BUKIT JANA KAMUNTING PERAK",,,,1AG092,,
289,"SEK MEN KEB SUNGAI BAYOR SELAMA PERAK",,,,1AG111,,
290,"SMK DATO' HAJI HUSSEIN SELAMA PERAK",,,,1AG116,,
291,"SMK DATO' HAJI HUSSEIN SELAMA PERAK",,,,1AG117,,
292,"SEK MEN KEB REDANG PANJANG IJOK BATU KURAU PERAK",,,,1AG141,,
293,"MADRASAH AL-HIDAYAH ADDINIAH",,,,2AG141,,
294,"SEK MEN KEB DATO' KAMARUDDIN  BATU KURAU PERAK",,,,1AG146,,
295,"SEK MEN KEB DATO' KAMARUDDIN BATU KURAU PERAK",,,,1AG147,,
296,"SEKOLAH MENENGAH AGAMA SYUBBANIAH BATU KURAU PERAK",,,,1AG148,,
297,"SEK MEN KEB JELAI BT KURAU PERAK",,,,1AG151,,
298,"SMK TAT BENG TRONG PERAK",,,,1AG171,,
299,"SEK MEN KEB TAN SRI ABDUL AZIZ LENGGONG PERAK",,,,1AH001,,
300,"SEKOLAH MENENGAH KEBANGSAAN KENERING PERAK",,,,1AH006,,
301,"SMK DATO AHMAD LENGGONG PERAK",,,,1AH011,,
302,"SMK SULTAN AZLAN SHAH LENGGONG PERAK",,,,1AH016,,
303,"SMK BERSIA FELDA GRIK PERAK",,,,1AH041,,
304,"SMK DATO' SERI WAN MOHAMMED GRIK PERAK",,,,1AH046,,
305,"SMK DATO SERI  WAN MOHAMAD GERIK (CALON PERSENDIRIAN)",,,,2AH046,,
306,"SEKOLAH MENENGAH KEBANGSAAN GERIK GERIK PERAK",,,,1AH051,,
307,"SEK MEN AGAMA TAN SRI GHAZALI JAWI GERIK PERAK",,,,2AH051,,
308,"SEK MEN KEB SULTAN IDRIS SHAH II GRIK PERAK",,,,1AH056,,
309,"SEK MEN  KEB SULTAN IDRIS SHAH II GRIK PERAK",,,,1AH057,,
310,"MRSM GERIK PERAK",,,,1AH061,,
311,"SEK MEN KEB TUN SABAN GRIK PERAK",,,,1AH081,,
312,"SEK MEN KEB TUN SABAN GRIK PERAK",,,,1AH082,,
313,"CALON PERSENDIRIAN PERSEORANGAN PERAK",,,,2AH082,,
314,"SMK PENGKALAN HULU PENGKALAN HULU PERAK",,,,1AH086,,
315,"SMK SULTAN MUHAMMAD SHAH PARIT PERAK",,,,1AJ001,,
316,"MAAHAD AL AZIZ AZIZIAH PARIT PERAK",,,,2AJ001,,
317,"SEK MEN KEB LAYANG-LAYANG KIRI PARIT PERAK",,,,1AJ006,,
318,"SEK MEN KEB ISKANDAR SHAH PARIT PERAK",,,,1AJ011,,
319,"SEK MEN KEB SUNGAI RANGGAM TELUK INTAN PERAK",,,,1AJ021,,
320,"SEK MEN KEB SG RANGGAM T INTAN (CALON PERSENDIRIAN)",,,,2AJ021,,
321,"SMK SULTAN MUZAFAR SHAH 1 PARIT PERAK",,,,1AJ036,,
322,"SEK MEN KEB LAMBOR KIRI PARIT PERAK",,,,1AJ041,,
323,"SEK MEN DATO ABDUL RAHMAN YAAKUB BOTA KANAN PERAK",,,,1AJ046,,
324,"SEK MEN DATO ABDUL RAHMAN YAAKUB BOTA KANAN PERAK",,,,1AJ047,,
325,"SMKA SULTAN AZLAN SHAH SERI ISKANDAR BOTA PERAK",,,,1AJ051,,
326,"SEK MEN KEB SULTAN ABDUL JALIL SHAH SEBERANG PERAK",,,,1AJ076,,
327,"SEK MEN KEB CHANGKAT LADA KAMPUNG GAJAH PERAK",,,,1AJ081,,
328,"SEK MEN DATO' SERI MAHARAJA LELA  KG GAJAH PERAK",,,,1AJ086,,
